geneid	JP6pm	JP8pm	JP10pm	JPMid	JP2am	JP4am	JP6am	JP8am	JP10am	JPnoon	JP2pm	JP4pm
TRINITY_DN29179_c0_g2	7.16	5.64	5.48	5.44	4.84	3.99	3.86	6.4	5.12	9.12	9.16	8.32
TRINITY_DN29179_c0_g1	10.59	10.4	8.37	9.92	7.49	7.9	6.05	10.36	17.34	24.68	27.1	20.66
TRINITY_DN36163_c1_g6	3.62	4.54	4.78	5.68	3.91	5.07	4.42	2.39	3.02	4.14	3.83	2.62
TRINITY_DN36163_c1_g1	26.41	25.21	22.64	26.61	22.29	43.67	37.72	30.62	30.31	29.3	26.16	18.71
TRINITY_DN17766_c0_g1	2.58	2.54	2.67	2.33	2.21	2.4	1.97	2.72	2.99	2.41	1.97	2.25
TRINITY_DN36163_c1_g2	6.94	22.1	22.59	37.14	52.32	26.81	39.04	15.93	40.3	11.68	7.36	9.85
TRINITY_DN29484_c1_g1	10.91	10.5	10.57	9.23	7.84	8.7	6.03	6.59	6.2	8.58	10.53	10.42
TRINITY_DN28384_c2_g1	3.89	3.9	3.35	4.93	3.42	2.72	2.83	3.66	1.89	2.51	3.15	4.86
TRINITY_DN14124_c0_g1	10.12	11.79	17.49	22.16	13.64	20.8	15.21	4.99	7.49	11.71	7.3	0
TRINITY_DN32680_c0_g6	1.08	1.9	2.45	2.86	2.7	3.37	1.1	1.33	1.03	1.86	2.69	1.43
TRINITY_DN32680_c0_g7	2.21	0.56	1.99	2.32	1.62	2.18	1.12	0.81	0.21	1.25	1.1	0.48
TRINITY_DN32680_c0_g3	2.34	2.18	4.41	3.98	2.81	3.18	1.25	0.43	0.54	1.55	0.84	0.58
TRINITY_DN27939_c2_g6	1.16	1.88	1.19	2.46	0.83	1.76	0.39	0.84	2.04	0.52	1.63	1.77
TRINITY_DN27939_c2_g4	0.95	1.59	1.82	2.62	1.05	1.61	1.09	0.63	1.31	0.81	1.25	1.05
TRINITY_DN27939_c2_g3	1.05	2.14	1.8	2.4	0.99	1.54	1.26	0.55	1.15	1.45	1.33	0.75
TRINITY_DN32680_c0_g9	1.82	1.06	2.37	1.16	0.63	1.52	1.34	1.33	0.72	1.73	0.9	0.77
TRINITY_DN27939_c2_g1	5.5	5.16	4.74	4.86	4.22	2.58	2.46	2.28	2.7	2.71	5.64	3.08
TRINITY_DN30196_c2_g1	1.46	2.5	3.03	3.1	1.94	3.1	2.05	0.77	0.85	1.18	1.22	1.44
TRINITY_DN33177_c2_g1	1.94	2.05	1.98	1.76	1.26	1.03	1.27	0.52	1.14	0.87	1.07	1.37
TRINITY_DN25162_c0_g1	6.97	6.63	5.15	5.5	5.13	3.45	4.27	5.21	8.13	5.59	6.39	7.05
TRINITY_DN35748_c0_g1	20.51	28.99	27.03	30.9	23.43	26.41	23.2	14.25	13.92	17.45	15.57	17.79
TRINITY_DN28039_c0_g1	26.96	24.38	21.51	26.17	21.95	16.65	18.5	19.99	22.3	30.01	41.96	29.57
TRINITY_DN31645_c0_g2	12.62	12.52	12.19	11.82	9.29	9.78	9.83	8.59	8.07	11.49	11.69	13.54
TRINITY_DN35136_c1_g1	0.3	0.77	3.27	1.97	1.22	2.08	0.7	0.14	1.2	2.51	1.02	0.23
TRINITY_DN30324_c2_g1	8.46	13.9	10.84	12.94	18.37	14.33	10.22	14.64	17.71	15.95	14.62	19.9
TRINITY_DN41149_c0_g1	0.97	71.43	0	0	0	0	0	0	0	0	0	0.09
TRINITY_DN27118_c2_g1	67.49	62.53	54.49	66.15	72.94	66	61.62	68.83	91.13	78.5	85.96	85.93
TRINITY_DN27118_c2_g2	3.73	3.27	1.87	2.24	1.94	1.84	2.06	2.38	0.89	1.22	1.29	1.54
TRINITY_DN33068_c1_g3	3.49	5.18	4.79	5.3	5.53	5.2	4.33	3.8	2.96	2.54	3.23	3.14
TRINITY_DN33228_c1_g1	46.18	38.46	29.21	26.14	31.72	26.94	28.81	40.61	52.23	42.67	44.31	43.05
TRINITY_DN34557_c5_g4	1.42	2.34	2.26	1.53	3.43	2.23	1.81	1.97	0.98	0.6	1.42	1.72
TRINITY_DN34557_c5_g2	7.03	4.52	5	5.35	5.79	5.03	3.62	3.62	2.26	4.7	4.84	4.69
TRINITY_DN28034_c1_g1	1.11	1.56	2.46	1.97	2.03	1.34	0.8	0.93	0.7	0.78	0.88	1.34
TRINITY_DN34228_c0_g5	6.87	8.7	7.22	7.02	9.39	7.43	10.52	8.09	6.34	2.78	3.63	4.28
TRINITY_DN36451_c1_g1	3.83	5.74	5.26	6.92	6.24	4.3	4.53	4.25	6.51	5.11	5.24	5.23
TRINITY_DN34228_c0_g2	6.85	9.61	9.88	9.78	7.31	8.43	6.93	4.99	4.78	5.91	6.2	6.67
TRINITY_DN31770_c1_g4	1.84	2.13	2.59	1.05	1.51	1.16	1.6	0.92	1.86	1.56	3	2.74
TRINITY_DN31770_c1_g3	1.77	3.08	5.13	4.44	2.27	2.44	2.79	1.21	1.71	2.19	2.44	2.87
TRINITY_DN30048_c0_g1	2.88	3.57	3.43	4.43	3.29	2.93	2.53	2.14	2.04	2.03	3.53	2.65
TRINITY_DN30048_c0_g2	0	7.79	0	8.58	1.5	1.29	1.12	4.52	3.06	0	0.87	3.86
TRINITY_DN30048_c0_g3	2.61	4.96	5.35	5.7	3.65	3.26	2.7	1.86	3.51	2.73	2.49	2.55
TRINITY_DN31746_c2_g1	4.27	5.49	4.89	5	3.95	5.33	5.86	3.67	3.92	4.95	4.72	4.89
TRINITY_DN22287_c0_g1	15.44	18.04	15.82	19.88	25.95	31.06	41.5	28.38	34.41	22.39	27.78	20.98
TRINITY_DN31814_c0_g2	1.05	2.07	3.39	3.26	2.27	2.66	1.88	0.58	1.78	0.94	1.68	1.28
TRINITY_DN14678_c0_g1	0	0	8.62	0	0	0	4.36	0	0	3.56	0	0
TRINITY_DN35788_c0_g1	5.31	5.25	5.22	4.85	4.82	4.15	4.26	4.44	5.06	6.13	6.83	6.06
TRINITY_DN20328_c1_g1	4.6	4.39	4.63	4.41	2.9	3.66	2.78	1.65	1.74	2.59	3.4	2.92
TRINITY_DN14380_c0_g1	4.79	10.99	6.17	11.08	8.74	8.06	10.3	6.3	14.86	5.87	7.83	10.31
TRINITY_DN34241_c1_g2	3.52	0.66	1.4	1.16	1.35	2.9	3.73	3.29	3.57	7.51	3.53	2.59
TRINITY_DN14380_c0_g2	4.14	8.38	6.7	8.52	7.43	6.7	5.56	4.15	6.03	3.9	4.28	5.07
TRINITY_DN34848_c2_g2	6.73	8.6	5.48	6	5.15	4.59	5.38	4.58	6.5	3.79	4.47	6.08
TRINITY_DN35735_c1_g7	63.86	76.64	70.83	85.59	75.29	74.54	75.12	67.53	58.35	67.79	64.56	71.28
TRINITY_DN24806_c0_g1	37.84	34.61	34.49	40.57	40.76	30.87	28.76	17.87	15.5	12.41	13.28	23.37
TRINITY_DN33800_c0_g2	2.16	4.1	6.65	7.75	4.99	6.21	2.28	1.26	2.39	1.44	2.2	2.44
